"site_id","building_id","floor_id","apartment_id","bfa","room_number","cluster","keep"
399,1001,4255,"38d3c8642ff2e673aad32c723f8901cd","1001_4255_38d3c8642ff2e673aad32c723f8901cd",1,1,TRUE
399,1000,4252,"eb644b4ef906fe73a528ee3cdddc4a13","1000_4252_eb644b4ef906fe73a528ee3cdddc4a13",1,1,TRUE
399,1001,4256,"79d9019737a3ca64ff4a708fbb514b91","1001_4256_79d9019737a3ca64ff4a708fbb514b91",1,1,TRUE
399,1000,4253,"017e2806abccbf365ddd9b237ba398a6","1000_4253_017e2806abccbf365ddd9b237ba398a6",1,1,FALSE
399,1001,4257,"452b74fac8ab56785cd7d3bba23620a6","1001_4257_452b74fac8ab56785cd7d3bba23620a6",1,1,FALSE
399,1000,4254,"f0b1350843fdc1a4f2395e1d9a170bfa","1000_4254_f0b1350843fdc1a4f2395e1d9a170bfa",1,1,FALSE
361,1020,4381,"1b1dcac5d04ec2187cb8a1f1a7a49525","1020_4381_1b1dcac5d04ec2187cb8a1f1a7a49525",1,2,TRUE
361,1020,4381,"2444fbaef51c7bb3105a534040655bfa","1020_4381_2444fbaef51c7bb3105a534040655bfa",1,2,FALSE
361,1020,4381,"32c6af2c4a187d8c8b386075ab574967","1020_4381_32c6af2c4a187d8c8b386075ab574967",1,2,FALSE
725,2148,11057,"1a513eb3d5d0796a6264eb616a304061","2148_11057_1a513eb3d5d0796a6264eb616a304061",1,3,TRUE
725,2148,11058,"f045c266b8f3698351704288ce24add4","2148_11058_f045c266b8f3698351704288ce24add4",1,3,TRUE
725,2148,11059,"2901771dfc2b7ea378396a0a644b8836","2148_11059_2901771dfc2b7ea378396a0a644b8836",1,3,TRUE
1260,2455,11479,"739eaa052c992c912c510f5a34d1c506","2455_11479_739eaa052c992c912c510f5a34d1c506",1,4,TRUE
361,1021,4386,"36213986b0f31bd22599c91050284ff5","1021_4386_36213986b0f31bd22599c91050284ff5",1,6,TRUE
361,1022,4392,"d30edccb041c6163eb29020832f2939c","1022_4392_d30edccb041c6163eb29020832f2939c",1,6,FALSE
361,1022,4392,"24c0ef9dbc94794cd941ca24d0fa399d","1022_4392_24c0ef9dbc94794cd941ca24d0fa399d",1,6,TRUE
361,1021,4386,"caf1f477fd3075ae4fae50522460cf52","1021_4386_caf1f477fd3075ae4fae50522460cf52",1,6,FALSE
361,1022,4392,"128a59bb515d612acdd1bb41cdde04bf","1022_4392_128a59bb515d612acdd1bb41cdde04bf",1,6,TRUE
361,1021,4386,"8020643bb1a92a1fc42880d9fe923a32","1021_4386_8020643bb1a92a1fc42880d9fe923a32",1,6,FALSE
403,1025,4404,"5cfea71869e43124a61fba53d89d2d30","1025_4404_5cfea71869e43124a61fba53d89d2d30",1,7,TRUE
403,1025,4405,"1072fc7cfa34312fdf39bb515a63cf5a","1025_4405_1072fc7cfa34312fdf39bb515a63cf5a",1,7,TRUE
403,1025,4406,"4034e26c97d614b8d92614f46c7fc6c0","1025_4406_4034e26c97d614b8d92614f46c7fc6c0",1,7,FALSE
403,1025,4407,"765ff88c9c751397486e5ff74166add5","1025_4407_765ff88c9c751397486e5ff74166add5",1,7,TRUE
425,1081,4730,"0be2967df280979e7135d57e96a144d6","1081_4730_0be2967df280979e7135d57e96a144d6",1,8,TRUE
425,1082,4735,"7fe1bedc3b3fb9e3be98b06a2c362ef5","1082_4735_7fe1bedc3b3fb9e3be98b06a2c362ef5",1,8,TRUE
425,1081,4731,"0ae47c06cd549cec74c937dfdb898e87","1081_4731_0ae47c06cd549cec74c937dfdb898e87",1,8,TRUE
425,1081,4732,"7c06130d9b0858a4fe4c4e7ef75cd642","1081_4732_7c06130d9b0858a4fe4c4e7ef75cd642",1,8,TRUE
425,1082,4738,"08ce20c673adb7ff9217fd82729e23cb","1082_4738_08ce20c673adb7ff9217fd82729e23cb",1,8,TRUE
425,1081,4733,"688c618f49d1fc299ecd2d816544da19","1081_4733_688c618f49d1fc299ecd2d816544da19",1,8,TRUE
454,1103,4828,"ffb5af9a398d9e63bb35537ed4ebb7f9","1103_4828_ffb5af9a398d9e63bb35537ed4ebb7f9",1,9,TRUE
454,1103,4829,"b96ccd3f146c0e195264ecf14e2ac4d6","1103_4829_b96ccd3f146c0e195264ecf14e2ac4d6",1,9,TRUE
454,1103,4830,"4c510e899ca2f44df87218f9734960fd","1103_4830_4c510e899ca2f44df87218f9734960fd",1,9,TRUE
454,1103,4831,"b04d5043f4c006fff4f1f71ecd4a4070","1103_4831_b04d5043f4c006fff4f1f71ecd4a4070",1,9,TRUE
456,1105,4838,"05ea69f88c03ae434ce49d2abb1c5e7a","1105_4838_05ea69f88c03ae434ce49d2abb1c5e7a",1,10,TRUE
456,1105,4838,"19b05dfad8ef55804768645a738dc1e2","1105_4838_19b05dfad8ef55804768645a738dc1e2",1,11,TRUE
456,1105,4838,"4c0a907514e0d15fe25b079881be60f8","1105_4838_4c0a907514e0d15fe25b079881be60f8",1,11,FALSE
456,1105,4838,"328b3658700463ea2ecfb7857a497104","1105_4838_328b3658700463ea2ecfb7857a497104",1,12,TRUE
902,1922,47115,"a7462d4b3be460a7afc6516e1d05c5dc","1922_47115_a7462d4b3be460a7afc6516e1d05c5dc",1,13,TRUE
902,1922,47116,"9fc7f842784d25a55afd80d80d8151f3","1922_47116_9fc7f842784d25a55afd80d80d8151f3",1,13,FALSE
902,1922,47117,"4552e6f93ce62ff9ebc16b92517e919c","1922_47117_4552e6f93ce62ff9ebc16b92517e919c",1,13,FALSE
456,1105,4838,"36194b06ce952190954725ac2aebe5c4","1105_4838_36194b06ce952190954725ac2aebe5c4",1,14,TRUE
456,1105,4838,"3bdd7cb27aa64b0c8864f9bf42e35ec1","1105_4838_3bdd7cb27aa64b0c8864f9bf42e35ec1",1,15,TRUE
678,1437,6285,"47d2f06a930925e2bc01f9fecd052210","1437_6285_47d2f06a930925e2bc01f9fecd052210",1,16,TRUE
456,1105,4838,"5151e6fb47d68437436f7b4a9e64aa7e","1105_4838_5151e6fb47d68437436f7b4a9e64aa7e",1,17,TRUE
547,1255,7174,"d657e0b1d84c3c724de87cf3e8bcfff5","1255_7174_d657e0b1d84c3c724de87cf3e8bcfff5",1,18,TRUE
547,1255,7175,"3412d686122f2628f21b1338c432852b","1255_7175_3412d686122f2628f21b1338c432852b",1,18,FALSE
547,1255,7176,"722cd661d43e88a338d5f6cbaef51471","1255_7176_722cd661d43e88a338d5f6cbaef51471",1,18,FALSE
547,1255,7177,"03f73a61ccbc9208b661adbea601ce84","1255_7177_03f73a61ccbc9208b661adbea601ce84",1,18,FALSE
547,1255,7178,"8cc7d92f2e18746fb219e77c5d770b4a","1255_7178_8cc7d92f2e18746fb219e77c5d770b4a",1,18,FALSE
456,1105,4838,"577cfd097c257f1a6ae3171782fccd7a","1105_4838_577cfd097c257f1a6ae3171782fccd7a",1,19,TRUE
456,1105,4838,"583b256c65c1c58874452e8e89e7243d","1105_4838_583b256c65c1c58874452e8e89e7243d",1,20,TRUE
456,1105,4838,"a0802dd90f861732ce85e5c7a5a8ce1d","1105_4838_a0802dd90f861732ce85e5c7a5a8ce1d",1,21,TRUE
456,1105,4838,"e3e40ec3097f77deef5ab707db199fc5","1105_4838_e3e40ec3097f77deef5ab707db199fc5",1,22,TRUE
1071,2194,10144,"abe6fddfbe0af397a260f25448b259f5","2194_10144_abe6fddfbe0af397a260f25448b259f5",1,23,TRUE
456,1105,4838,"e45c2177663bf734a6f2c3a2de5d0c48","1105_4838_e45c2177663bf734a6f2c3a2de5d0c48",1,24,TRUE
459,1110,4863,"16580540acbdeb42360f5e27d66e2057","1110_4863_16580540acbdeb42360f5e27d66e2057",1,27,TRUE
459,1110,4863,"f8da5908e3116ba71342fd54f4b60540","1110_4863_f8da5908e3116ba71342fd54f4b60540",1,28,TRUE
459,1110,4864,"94e7f1da0c876184550f028598750032","1110_4864_94e7f1da0c876184550f028598750032",1,29,TRUE
459,1110,4865,"b81baedf503b8b2e061176ac6b72e600","1110_4865_b81baedf503b8b2e061176ac6b72e600",1,29,FALSE
459,1110,4866,"4e05c615a9a6871d72102c44dcc2c5f9","1110_4866_4e05c615a9a6871d72102c44dcc2c5f9",1,29,FALSE
459,1110,4867,"6e4c3dd6a560b40ab673f4a2ce8c1247","1110_4867_6e4c3dd6a560b40ab673f4a2ce8c1247",1,29,TRUE
468,1118,4901,"e2868d1ebbc7006bfcb789131a26f114","1118_4901_e2868d1ebbc7006bfcb789131a26f114",1,30,TRUE
468,1118,4902,"50b640d65de093cd0050e6f35e9e970a","1118_4902_50b640d65de093cd0050e6f35e9e970a",1,30,FALSE
468,1118,4903,"cce6821c88dfde414bf24dadc61307fe","1118_4903_cce6821c88dfde414bf24dadc61307fe",1,30,FALSE
468,1118,47831,"595b679aa68b6e31ee5fc90b36c57774","1118_47831_595b679aa68b6e31ee5fc90b36c57774",1,30,FALSE
468,1118,4905,"5f7c330045decac7dd05cb678eada44e","1118_4905_5f7c330045decac7dd05cb678eada44e",1,31,TRUE
469,1119,10913,"41fa1e8d3ef93a3a226e524e54fbba2c","1119_10913_41fa1e8d3ef93a3a226e524e54fbba2c",1,32,TRUE
469,1119,10913,"4d7a1469bf9fc9c1526fad282c67c064","1119_10913_4d7a1469bf9fc9c1526fad282c67c064",1,33,TRUE
469,1119,10913,"a62d863fa16a93b08e0b9e8fdba242a0","1119_10913_a62d863fa16a93b08e0b9e8fdba242a0",1,34,TRUE
469,1119,4908,"70b33a8b4908e990de05d803039661a9","1119_4908_70b33a8b4908e990de05d803039661a9",1,35,TRUE
469,1119,4911,"551c5202f4369858039c7798b4c65f93","1119_4911_551c5202f4369858039c7798b4c65f93",1,36,TRUE
471,1121,4930,"40076ed273d66af951eec924ecbac21f","1121_4930_40076ed273d66af951eec924ecbac21f",1,37,TRUE
